County,Tax Rate
Allen,7.25
Ashland,6.5
Ashtabula,7.15
Athens,7.0
Auglaize,7.5
Belmont,7.25
Brown,6.75
Butler,7.25
Carroll,7.25
Champaign,7.0
Clark,7.25
Clermont,7.5
Clinton,7.25
Columbiana,7.25
Coshocton,7.25
Crawford,7.25
Cuyahoga,7.0
Darke,7.25
Defiance,7.25
Erie,7.25
Fairfield,7.0
Fayette,7.25
Franklin,7.0
Fulton,7.0
Gallia,7.25
Geauga,7.25
Greene,7.25
Guernsey,7.25
Hamilton,7.25
Hancock,6.5
Hardin,6.75
Harrison,6.75
Henry,6.75
Highland,7.0
Hocking,7.25
Holmes,7.25
Huron,6.75
Jackson,7.25
Jefferson,6.5
Knox,7.25
Lake,6.75
Lawrence,7.25
